,createdAt,Luftdruck,Temperatur,UV-Intensität,rel. Luftfeuchte
0,2024-05-22 16:08:48.892000+00:00,,20.94,157.5,64.04
1,2024-05-22 16:09:49.609000+00:00,,21.01,151.88,64.31
2,2024-05-22 16:10:49.241000+00:00,999.21,20.97,151.88,64.22
3,2024-05-22 16:11:49.341000+00:00,999.2,20.98,151.88,
4,2024-05-22 16:12:49.417000+00:00,,21.16,174.38,
5,2024-05-22 16:13:49.530000+00:00,999.18,,163.12,
6,2024-05-22 16:14:49.574000+00:00,999.16,21.31,,
7,2024-05-22 16:15:49.671000+00:00,999.15,21.68,,
8,2024-05-22 16:16:49.859000+00:00,999.14,,163.12,62.52
9,2024-05-22 16:17:49.953000+00:00,999.14,,157.5,62.12
10,2024-05-22 16:18:50.088000+00:00,999.13,,151.88,
11,2024-05-22 16:19:50.230000+00:00,999.13,21.4,180.0,62.08
12,2024-05-22 16:20:50.278000+00:00,999.12,21.27,163.12,62.28
13,2024-05-22 16:21:50.443000+00:00,,21.16,157.5,62.41
14,2024-05-22 16:22:50.552000+00:00,,21.31,151.88,63.89
15,2024-05-22 16:23:50.581000+00:00,,21.46,157.5,62.65
16,2024-05-22 16:24:50.724000+00:00,,21.34,163.12,62.28
17,2024-05-22 16:25:50.884000+00:00,,21.29,151.88,63.18
18,2024-05-22 16:26:51.043000+00:00,999.07,21.29,168.75,62.58
19,2024-05-22 16:27:51.096000+00:00,999.07,21.46,135.0,62.45
20,2024-05-22 16:28:51.173000+00:00,999.06,21.44,140.62,62.28
21,2024-05-22 16:29:51.326000+00:00,999.05,,151.88,
22,2024-05-22 16:30:52.110000+00:00,999.05,21.21,118.12,62.68
23,2024-05-22 16:31:51.556000+00:00,999.05,,129.38,62.94
24,2024-05-22 16:32:51.722000+00:00,999.06,21.06,151.88,63.31
25,2024-05-22 16:33:51.687000+00:00,999.07,21.13,129.38,63.01
26,2024-05-22 16:34:51.848000+00:00,999.06,,146.25,63.95
27,2024-05-22 16:35:51.951000+00:00,999.05,21.07,140.62,63.51
28,2024-05-22 16:36:52.136000+00:00,999.04,21.21,135.0,62.98
