createdat,luftdruck,temperatur,uvintensität,relluftfeuchte
2024-06-06 20:53:00+00:00,1003.16,21.37,0.0,51.97
2024-06-06 20:54:00+00:00,1003.15,21.32,0.0,51.97
2024-06-06 20:55:00+00:00,1003.17,21.35,0.0,51.87
2024-06-06 20:56:00+00:00,1003.15,21.35,0.0,52.07
2024-06-06 20:57:00+00:00,1003.14,21.34,0.0,51.87
2024-06-06 20:58:00+00:00,1003.11,21.31,0.0,51.97
2024-06-06 20:59:00+00:00,1003.11,21.32,0.0,52.07
2024-06-06 21:00:00+00:00,1003.15,21.35,0.0,51.87
2024-06-06 21:01:00+00:00,1003.15,21.34,0.0,51.87
2024-06-06 21:02:00+00:00,1003.17,21.35,0.0,51.77
2024-06-06 21:03:00+00:00,,21.24,0.0,51.97
2024-06-06 21:04:00+00:00,,21.24,0.0,52.17
2024-06-06 21:05:00+00:00,,21.25,0.0,52.17
2024-06-06 21:06:00+00:00,,21.28,0.0,52.17
2024-06-06 21:07:00+00:00,,21.29,0.0,51.97
2024-06-06 21:08:00+00:00,,21.34,0.0,51.67
2024-06-06 21:09:00+00:00,,21.32,0.0,51.87
2024-06-06 21:10:00+00:00,,21.32,0.0,51.77
2024-06-06 21:11:00+00:00,1003.33,21.31,0.0,51.77
2024-06-06 21:12:00+00:00,1003.35,21.29,0.0,51.87
2024-06-06 21:13:00+00:00,1003.35,21.21,0.0,51.97
2024-06-06 21:14:00+00:00,1003.35,21.21,0.0,52.09
2024-06-06 21:15:00+00:00,1003.36,21.24,0.0,52.07
2024-06-06 21:16:00+00:00,1003.34,21.22,0.0,51.97
2024-06-06 21:17:00+00:00,1003.36,21.13,0.0,51.99
2024-06-06 21:18:00+00:00,1003.38,21.13,0.0,51.99
2024-06-06 21:19:00+00:00,1003.37,21.1,0.0,51.89
2024-06-06 21:20:00+00:00,1003.38,21.1,0.0,52.19
2024-06-06 21:21:00+00:00,1003.4,21.1,0.0,52.19
2024-06-06 21:22:00+00:00,1003.43,21.19,0.0,52.09
2024-06-06 21:23:00+00:00,1003.46,,0.0,51.97
2024-06-06 21:24:00+00:00,1003.47,,0.0,51.77
2024-06-06 21:25:00+00:00,1003.48,,0.0,51.79
2024-06-06 21:26:00+00:00,1003.45,,0.0,51.69
2024-06-06 21:27:00+00:00,1003.4,20.99,0.0,51.49
2024-06-06 21:28:00+00:00,1003.37,20.95,0.0,51.69
2024-06-06 21:29:00+00:00,1003.39,,0.0,51.89
2024-06-06 21:30:00+00:00,,,0.0,51.39
2024-06-06 21:31:00+00:00,1003.38,,0.0,51.19
2024-06-06 21:32:00+00:00,1003.39,20.94,0.0,51.42
2024-06-06 21:33:00+00:00,1003.42,20.91,0.0,51.72
2024-06-06 21:34:00+00:00,1003.44,20.89,0.0,51.12
2024-06-06 21:35:00+00:00,1003.44,20.91,0.0,51.32
2024-06-06 21:36:00+00:00,1003.45,20.91,0.0,50.92
2024-06-06 21:37:00+00:00,1003.44,20.92,0.0,51.32
2024-06-06 21:38:00+00:00,1003.43,20.98,0.0,50.89
2024-06-06 21:39:00+00:00,1003.42,20.91,0.0,50.92
2024-06-06 21:40:00+00:00,,20.92,0.0,50.71
2024-06-06 21:41:00+00:00,,20.95,0.0,50.79
2024-06-06 21:42:00+00:00,1003.45,20.95,0.0,50.31
2024-06-06 21:43:00+00:00,1003.47,20.94,0.0,50.31
2024-06-06 21:44:00+00:00,1003.5,20.91,0.0,50.11
2024-06-06 21:45:00+00:00,1003.51,20.87,0.0,50.11
2024-06-06 21:46:00+00:00,1003.53,20.87,0.0,50.31
2024-06-06 21:47:00+00:00,1003.55,20.82,0.0,
2024-06-06 21:48:00+00:00,1003.56,20.88,0.0,
2024-06-06 21:49:00+00:00,1003.59,20.95,0.0,
2024-06-06 21:50:00+00:00,1003.6,20.97,0.0,
2024-06-06 21:51:00+00:00,1003.62,20.92,0.0,
2024-06-06 21:52:00+00:00,1003.61,20.92,0.0,
2024-06-06 21:53:00+00:00,1003.61,20.92,0.0,
2024-06-06 21:54:00+00:00,1003.59,20.94,0.0,
2024-06-06 21:55:00+00:00,1003.55,20.91,0.0,48.81
2024-06-06 21:56:00+00:00,1003.52,20.84,0.0,48.71
2024-06-06 21:57:00+00:00,1003.55,20.84,0.0,49.11
2024-06-06 21:58:00+00:00,1003.56,20.85,0.0,48.81
