,location,createdAt,value,isOutlier,Id,outlier
0,"[8.410042, 49.001548]",2024-05-27T17:13:14.702Z,20.31,False,6645db6eeb5aad0007a6e4b7,
1,"[8.410042, 49.001548]",2024-05-27T17:12:14.638Z,20.35,False,6645db6eeb5aad0007a6e4b7,
2,"[8.410042, 49.001548]",2024-05-27T17:11:14.652Z,20.32,False,6645db6eeb5aad0007a6e4b7,
3,"[8.410042, 49.001548]",2024-05-27T17:10:14.357Z,20.36,False,6645db6eeb5aad0007a6e4b7,
4,"[8.410042, 49.001548]",2024-05-27T17:09:14.242Z,20.41,False,6645db6eeb5aad0007a6e4b7,
5,"[8.410042, 49.001548]",2024-05-27T17:08:14.180Z,20.52,False,6645db6eeb5aad0007a6e4b7,
6,"[8.410042, 49.001548]",2024-05-27T17:07:13.957Z,20.67,False,6645db6eeb5aad0007a6e4b7,
7,"[8.410042, 49.001548]",2024-05-27T17:06:14.245Z,20.85,False,6645db6eeb5aad0007a6e4b7,
8,"[8.410042, 49.001548]",2024-05-27T17:05:13.743Z,20.79,False,6645db6eeb5aad0007a6e4b7,
9,"[8.410042, 49.001548]",2024-05-27T17:04:13.610Z,20.73,False,6645db6eeb5aad0007a6e4b7,
10,"[8.410042, 49.001548]",2024-05-27T17:03:13.529Z,20.77,False,6645db6eeb5aad0007a6e4b7,
11,"[8.410042, 49.001548]",2024-05-27T17:02:13.485Z,20.80,False,6645db6eeb5aad0007a6e4b7,
12,"[8.410042, 49.001548]",2024-05-27T17:01:13.365Z,20.89,False,6645db6eeb5aad0007a6e4b7,
13,"[8.410042, 49.001548]",2024-05-27T17:00:20.456Z,21.01,False,6645db6eeb5aad0007a6e4b7,
14,"[8.410042, 49.001548]",2024-05-27T16:59:13.122Z,20.91,False,6645db6eeb5aad0007a6e4b7,
15,"[8.410042, 49.001548]",2024-05-27T16:58:13.031Z,20.87,False,6645db6eeb5aad0007a6e4b7,
16,"[8.410042, 49.001548]",2024-05-27T16:57:12.924Z,20.94,False,6645db6eeb5aad0007a6e4b7,
17,"[8.410042, 49.001548]",2024-05-27T16:56:12.922Z,20.97,False,6645db6eeb5aad0007a6e4b7,
18,"[8.410042, 49.001548]",2024-05-27T16:55:12.726Z,21.07,False,6645db6eeb5aad0007a6e4b7,
19,"[8.410042, 49.001548]",2024-05-27T16:54:12.550Z,20.97,False,6645db6eeb5aad0007a6e4b7,
20,"[8.410042, 49.001548]",2024-05-27T16:53:12.511Z,21.09,False,6645db6eeb5aad0007a6e4b7,
21,"[8.410042, 49.001548]",2024-05-27T16:52:12.387Z,21.01,False,6645db6eeb5aad0007a6e4b7,
22,"[8.410042, 49.001548]",2024-05-27T16:51:12.213Z,21.14,False,6645db6eeb5aad0007a6e4b7,
23,"[8.410042, 49.001548]",2024-05-27T16:50:12.580Z,21.38,True,6645db6eeb5aad0007a6e4b7,
24,"[8.410042, 49.001548]",2024-05-27T16:49:11.983Z,21.14,False,6645db6eeb5aad0007a6e4b7,
25,"[8.410042, 49.001548]",2024-05-27T16:48:12.002Z,21.24,False,6645db6eeb5aad0007a6e4b7,
26,"[8.410042, 49.001548]",2024-05-27T16:47:11.820Z,21.58,True,6645db6eeb5aad0007a6e4b7,
27,"[8.410042, 49.001548]",2024-05-27T16:46:11.672Z,21.72,True,6645db6eeb5aad0007a6e4b7,
28,"[8.410042, 49.001548]",2024-05-27T16:45:14.106Z,21.58,True,6645db6eeb5aad0007a6e4b7,
29,"[8.410042, 49.001548]",2024-05-27T16:44:11.504Z,21.25,False,6645db6eeb5aad0007a6e4b7,
30,"[8.410042, 49.001548]",2024-05-27T16:43:11.398Z,21.07,False,6645db6eeb5aad0007a6e4b7,
31,"[8.410042, 49.001548]",2024-05-27T16:42:11.313Z,21.16,False,6645db6eeb5aad0007a6e4b7,
32,"[8.410042, 49.001548]",2024-05-27T16:41:11.262Z,21.28,False,6645db6eeb5aad0007a6e4b7,
33,"[8.410042, 49.001548]",2024-05-27T16:40:11.674Z,21.40,False,6645db6eeb5aad0007a6e4b7,
34,"[8.410042, 49.001548]",2024-05-27T16:39:10.983Z,21.54,False,6645db6eeb5aad0007a6e4b7,
35,"[8.410042, 49.001548]",2024-05-27T16:38:10.915Z,21.65,False,6645db6eeb5aad0007a6e4b7,
36,"[8.410042, 49.001548]",2024-05-27T16:37:11.635Z,21.84,True,6645db6eeb5aad0007a6e4b7,
37,"[8.410042, 49.001548]",2024-05-27T16:36:10.675Z,21.82,False,6645db6eeb5aad0007a6e4b7,
38,"[8.410042, 49.001548]",2024-05-27T16:35:10.588Z,21.75,False,6645db6eeb5aad0007a6e4b7,
39,"[8.410042, 49.001548]",2024-05-27T16:34:11.127Z,21.50,False,6645db6eeb5aad0007a6e4b7,
40,"[8.410042, 49.001548]",2024-05-27T16:33:11.238Z,21.52,False,6645db6eeb5aad0007a6e4b7,
41,"[8.410042, 49.001548]",2024-05-27T16:32:11.144Z,21.64,False,6645db6eeb5aad0007a6e4b7,
42,"[8.410042, 49.001548]",2024-05-27T16:31:10.031Z,21.32,False,6645db6eeb5aad0007a6e4b7,
43,"[8.410042, 49.001548]",2024-05-27T16:30:09.967Z,21.49,False,6645db6eeb5aad0007a6e4b7,
44,"[8.410042, 49.001548]",2024-05-27T16:29:10.052Z,21.59,False,6645db6eeb5aad0007a6e4b7,
45,"[8.410042, 49.001548]",2024-05-27T16:28:09.779Z,21.77,False,6645db6eeb5aad0007a6e4b7,
46,"[8.410042, 49.001548]",2024-05-27T16:27:09.585Z,21.94,False,6645db6eeb5aad0007a6e4b7,
47,"[8.410042, 49.001548]",2024-05-27T16:26:09.498Z,22.36,True,6645db6eeb5aad0007a6e4b7,
48,"[8.410042, 49.001548]",2024-05-27T16:25:09.423Z,22.28,True,6645db6eeb5aad0007a6e4b7,
49,"[8.410042, 49.001548]",2024-05-27T16:24:09.223Z,22.25,True,6645db6eeb5aad0007a6e4b7,
50,"[8.410042, 49.001548]",2024-05-27T16:23:09.155Z,22.15,False,6645db6eeb5aad0007a6e4b7,
51,"[8.410042, 49.001548]",2024-05-27T16:22:08.994Z,22.14,False,6645db6eeb5aad0007a6e4b7,
52,"[8.410042, 49.001548]",2024-05-27T16:21:08.925Z,22.17,False,6645db6eeb5aad0007a6e4b7,
53,"[8.410042, 49.001548]",2024-05-27T16:20:08.849Z,22.14,False,6645db6eeb5aad0007a6e4b7,
54,"[8.410042, 49.001548]",2024-05-27T16:19:08.627Z,22.15,False,6645db6eeb5aad0007a6e4b7,
55,"[8.410042, 49.001548]",2024-05-27T16:18:08.559Z,22.15,False,6645db6eeb5aad0007a6e4b7,
56,"[8.410042, 49.001548]",2024-05-27T16:17:08.471Z,22.05,False,6645db6eeb5aad0007a6e4b7,
57,"[8.410042, 49.001548]",2024-05-27T16:16:08.329Z,21.92,False,6645db6eeb5aad0007a6e4b7,
58,"[8.410042, 49.001548]",2024-05-27T16:15:08.413Z,21.86,False,6645db6eeb5aad0007a6e4b7,
59,"[8.410042, 49.001548]",2024-05-27T16:14:08.203Z,21.64,True,6645db6eeb5aad0007a6e4b7,
60,"[8.410042, 49.001548]",2024-05-27T16:13:07.948Z,21.68,True,6645db6eeb5aad0007a6e4b7,
61,"[8.410042, 49.001548]",2024-05-27T16:12:08.649Z,21.71,True,6645db6eeb5aad0007a6e4b7,
62,"[8.410042, 49.001548]",2024-05-27T16:11:08.739Z,21.72,True,6645db6eeb5aad0007a6e4b7,
63,"[8.410042, 49.001548]",2024-05-27T16:10:07.831Z,21.64,True,6645db6eeb5aad0007a6e4b7,
64,"[8.410042, 49.001548]",2024-05-27T16:09:07.577Z,21.44,True,6645db6eeb5aad0007a6e4b7,
65,"[8.410042, 49.001548]",2024-05-27T16:08:07.677Z,21.13,True,6645db6eeb5aad0007a6e4b7,
66,"[8.410042, 49.001548]",2024-05-27T16:07:07.340Z,20.97,True,6645db6eeb5aad0007a6e4b7,
67,"[8.410042, 49.001548]",2024-05-27T16:06:07.378Z,20.98,False,6645db6eeb5aad0007a6e4b7,
68,"[8.410042, 49.001548]",2024-05-27T16:05:07.117Z,20.91,False,6645db6eeb5aad0007a6e4b7,
69,"[8.410042, 49.001548]",2024-05-27T16:04:07.310Z,20.98,False,6645db6eeb5aad0007a6e4b7,
70,"[8.410042, 49.001548]",2024-05-27T16:03:06.844Z,20.99,False,6645db6eeb5aad0007a6e4b7,
71,"[8.410042, 49.001548]",2024-05-27T16:02:06.825Z,21.03,False,6645db6eeb5aad0007a6e4b7,
72,"[8.410042, 49.001548]",2024-05-27T16:01:06.702Z,21.06,False,6645db6eeb5aad0007a6e4b7,
73,"[8.410042, 49.001548]",2024-05-27T16:00:06.406Z,20.97,False,6645db6eeb5aad0007a6e4b7,
74,"[8.410042, 49.001548]",2024-05-27T15:59:06.418Z,21.04,False,6645db6eeb5aad0007a6e4b7,
75,"[8.410042, 49.001548]",2024-05-27T15:58:06.254Z,20.88,False,6645db6eeb5aad0007a6e4b7,
76,"[8.410042, 49.001548]",2024-05-27T15:57:06.077Z,21.01,False,6645db6eeb5aad0007a6e4b7,
77,"[8.410042, 49.001548]",2024-05-27T15:56:06.006Z,21.29,True,6645db6eeb5aad0007a6e4b7,
78,"[8.410042, 49.001548]",2024-05-27T15:55:05.859Z,21.37,True,6645db6eeb5aad0007a6e4b7,
79,"[8.410042, 49.001548]",2024-05-27T15:54:06.642Z,21.31,True,6645db6eeb5aad0007a6e4b7,
80,"[8.410042, 49.001548]",2024-05-27T15:53:05.659Z,21.46,True,6645db6eeb5aad0007a6e4b7,
81,"[8.410042, 49.001548]",2024-05-27T15:52:05.511Z,21.90,True,6645db6eeb5aad0007a6e4b7,
82,"[8.410042, 49.001548]",2024-05-27T15:51:06.125Z,21.71,True,6645db6eeb5aad0007a6e4b7,
83,"[8.410042, 49.001548]",2024-05-27T15:50:05.342Z,21.86,True,6645db6eeb5aad0007a6e4b7,
84,"[8.410042, 49.001548]",2024-05-27T15:49:05.161Z,21.79,True,6645db6eeb5aad0007a6e4b7,
85,"[8.410042, 49.001548]",2024-05-27T15:48:05.097Z,21.72,False,6645db6eeb5aad0007a6e4b7,
86,"[8.410042, 49.001548]",2024-05-27T15:47:04.959Z,21.88,False,6645db6eeb5aad0007a6e4b7,
87,"[8.410042, 49.001548]",2024-05-27T15:46:04.757Z,22.06,False,6645db6eeb5aad0007a6e4b7,
88,"[8.410042, 49.001548]",2024-05-27T15:45:04.566Z,22.14,False,6645db6eeb5aad0007a6e4b7,
89,"[8.410042, 49.001548]",2024-05-27T15:44:05.258Z,22.14,False,6645db6eeb5aad0007a6e4b7,
90,"[8.410042, 49.001548]",2024-05-27T15:43:04.298Z,22.25,False,6645db6eeb5aad0007a6e4b7,
91,"[8.410042, 49.001548]",2024-05-27T15:42:05.151Z,22.25,False,6645db6eeb5aad0007a6e4b7,
92,"[8.410042, 49.001548]",2024-05-27T15:41:04.221Z,22.39,False,6645db6eeb5aad0007a6e4b7,
93,"[8.410042, 49.001548]",2024-05-27T15:40:04.046Z,22.28,False,6645db6eeb5aad0007a6e4b7,
94,"[8.410042, 49.001548]",2024-05-27T15:39:03.903Z,22.35,False,6645db6eeb5aad0007a6e4b7,
95,"[8.410042, 49.001548]",2024-05-27T15:38:03.870Z,22.67,True,6645db6eeb5aad0007a6e4b7,
96,"[8.410042, 49.001548]",2024-05-27T15:37:03.751Z,22.52,False,6645db6eeb5aad0007a6e4b7,
97,"[8.410042, 49.001548]",2024-05-27T15:36:03.636Z,22.51,False,6645db6eeb5aad0007a6e4b7,
98,"[8.410042, 49.001548]",2024-05-27T15:35:03.537Z,22.58,False,6645db6eeb5aad0007a6e4b7,
99,"[8.410042, 49.001548]",2024-05-27T15:34:04.118Z,22.60,False,6645db6eeb5aad0007a6e4b7,
100,"[8.410042, 49.001548]",2024-05-27T15:33:04.260Z,22.62,False,6645db6eeb5aad0007a6e4b7,
101,"[8.410042, 49.001548]",2024-05-27T15:32:03.430Z,22.61,False,6645db6eeb5aad0007a6e4b7,
102,"[8.410042, 49.001548]",2024-05-27T15:31:03.135Z,22.72,False,6645db6eeb5aad0007a6e4b7,
103,"[8.410042, 49.001548]",2024-05-27T15:30:02.986Z,22.79,False,6645db6eeb5aad0007a6e4b7,
104,"[8.410042, 49.001548]",2024-05-27T15:29:03.665Z,22.79,False,6645db6eeb5aad0007a6e4b7,
105,"[8.410042, 49.001548]",2024-05-27T15:28:02.764Z,22.79,False,6645db6eeb5aad0007a6e4b7,
106,"[8.410042, 49.001548]",2024-05-27T15:27:02.691Z,22.86,False,6645db6eeb5aad0007a6e4b7,
107,"[8.410042, 49.001548]",2024-05-27T15:26:02.670Z,22.90,False,6645db6eeb5aad0007a6e4b7,
108,"[8.410042, 49.001548]",2024-05-27T15:25:02.378Z,22.94,False,6645db6eeb5aad0007a6e4b7,
109,"[8.410042, 49.001548]",2024-05-27T15:24:02.231Z,22.97,False,6645db6eeb5aad0007a6e4b7,
110,"[8.410042, 49.001548]",2024-05-27T15:23:02.181Z,23.02,False,6645db6eeb5aad0007a6e4b7,
111,"[8.410042, 49.001548]",2024-05-27T15:22:02.625Z,23.12,False,6645db6eeb5aad0007a6e4b7,
112,"[8.410042, 49.001548]",2024-05-27T15:21:01.904Z,23.28,False,6645db6eeb5aad0007a6e4b7,
113,"[8.410042, 49.001548]",2024-05-27T15:20:02.051Z,23.38,True,6645db6eeb5aad0007a6e4b7,
114,"[8.410042, 49.001548]",2024-05-27T15:19:01.643Z,23.36,True,6645db6eeb5aad0007a6e4b7,
115,"[8.410042, 49.001548]",2024-05-27T15:18:01.727Z,23.38,True,6645db6eeb5aad0007a6e4b7,
116,"[8.410042, 49.001548]",2024-05-27T15:17:01.550Z,23.36,False,6645db6eeb5aad0007a6e4b7,
117,"[8.410042, 49.001548]",2024-05-27T15:16:01.396Z,23.27,False,6645db6eeb5aad0007a6e4b7,
118,"[8.410042, 49.001548]",2024-05-27T15:15:01.211Z,23.07,False,6645db6eeb5aad0007a6e4b7,
119,"[8.410042, 49.001548]",2024-05-27T15:14:01.323Z,23.22,False,6645db6eeb5aad0007a6e4b7,
120,"[8.410042, 49.001548]",2024-05-27T15:13:01.072Z,23.32,False,6645db6eeb5aad0007a6e4b7,
121,"[8.410042, 49.001548]",2024-05-27T15:12:00.866Z,23.40,False,6645db6eeb5aad0007a6e4b7,
122,"[8.410042, 49.001548]",2024-05-27T15:11:00.818Z,23.35,False,6645db6eeb5aad0007a6e4b7,
123,"[8.410042, 49.001548]",2024-05-27T15:10:00.607Z,23.47,False,6645db6eeb5aad0007a6e4b7,
124,"[8.410042, 49.001548]",2024-05-27T15:09:00.472Z,23.73,True,6645db6eeb5aad0007a6e4b7,
125,"[8.410042, 49.001548]",2024-05-27T15:08:00.565Z,23.91,True,6645db6eeb5aad0007a6e4b7,
126,"[8.410042, 49.001548]",2024-05-27T15:07:00.197Z,23.85,True,6645db6eeb5aad0007a6e4b7,
127,"[8.410042, 49.001548]",2024-05-27T15:06:00.041Z,23.97,True,6645db6eeb5aad0007a6e4b7,
128,"[8.410042, 49.001548]",2024-05-27T15:05:00.068Z,24.03,True,6645db6eeb5aad0007a6e4b7,
129,"[8.410042, 49.001548]",2024-05-27T15:03:59.869Z,23.93,True,6645db6eeb5aad0007a6e4b7,
130,"[8.410042, 49.001548]",2024-05-27T15:02:59.827Z,23.80,False,6645db6eeb5aad0007a6e4b7,
131,"[8.410042, 49.001548]",2024-05-27T15:01:59.900Z,24.10,False,6645db6eeb5aad0007a6e4b7,
132,"[8.410042, 49.001548]",2024-05-27T15:00:59.527Z,24.35,False,6645db6eeb5aad0007a6e4b7,
133,"[8.410042, 49.001548]",2024-05-27T15:00:00.134Z,24.28,False,6645db6eeb5aad0007a6e4b7,
134,"[8.410042, 49.001548]",2024-05-27T14:58:59.314Z,24.32,False,6645db6eeb5aad0007a6e4b7,
135,"[8.410042, 49.001548]",2024-05-27T14:57:59.131Z,24.42,False,6645db6eeb5aad0007a6e4b7,
136,"[8.410042, 49.001548]",2024-05-27T14:56:58.930Z,24.34,False,6645db6eeb5aad0007a6e4b7,
137,"[8.410042, 49.001548]",2024-05-27T14:55:58.896Z,24.22,False,6645db6eeb5aad0007a6e4b7,
138,"[8.410042, 49.001548]",2024-05-27T14:54:59.599Z,24.20,False,6645db6eeb5aad0007a6e4b7,
139,"[8.410042, 49.001548]",2024-05-27T14:53:58.607Z,23.97,False,6645db6eeb5aad0007a6e4b7,
140,"[8.410042, 49.001548]",2024-05-27T14:52:58.510Z,23.91,False,6645db6eeb5aad0007a6e4b7,
141,"[8.410042, 49.001548]",2024-05-27T14:51:58.427Z,24.10,False,6645db6eeb5aad0007a6e4b7,
142,"[8.410042, 49.001548]",2024-05-27T14:50:58.749Z,24.15,False,6645db6eeb5aad0007a6e4b7,
143,"[8.410042, 49.001548]",2024-05-27T14:49:58.283Z,23.98,False,6645db6eeb5aad0007a6e4b7,
144,"[8.410042, 49.001548]",2024-05-27T14:48:58.173Z,23.98,False,6645db6eeb5aad0007a6e4b7,
145,"[8.410042, 49.001548]",2024-05-27T14:47:58.154Z,24.08,False,6645db6eeb5aad0007a6e4b7,
146,"[8.410042, 49.001548]",2024-05-27T14:46:58.035Z,24.12,False,6645db6eeb5aad0007a6e4b7,
147,"[8.410042, 49.001548]",2024-05-27T14:45:57.862Z,24.35,False,6645db6eeb5aad0007a6e4b7,
148,"[8.410042, 49.001548]",2024-05-27T14:44:57.661Z,24.16,False,6645db6eeb5aad0007a6e4b7,
149,"[8.410042, 49.001548]",2024-05-27T14:43:58.309Z,23.91,False,6645db6eeb5aad0007a6e4b7,
150,"[8.410042, 49.001548]",2024-05-27T14:42:57.431Z,23.72,False,6645db6eeb5aad0007a6e4b7,
151,"[8.410042, 49.001548]",2024-05-27T14:41:58.091Z,23.90,False,6645db6eeb5aad0007a6e4b7,
152,"[8.410042, 49.001548]",2024-05-27T14:40:57.233Z,23.78,False,6645db6eeb5aad0007a6e4b7,
153,"[8.410042, 49.001548]",2024-05-27T14:39:57.106Z,23.97,False,6645db6eeb5aad0007a6e4b7,
154,"[8.410042, 49.001548]",2024-05-27T14:38:56.904Z,23.95,False,6645db6eeb5aad0007a6e4b7,
155,"[8.410042, 49.001548]",2024-05-27T14:37:56.937Z,24.15,False,6645db6eeb5aad0007a6e4b7,
156,"[8.410042, 49.001548]",2024-05-27T14:36:56.629Z,24.27,False,6645db6eeb5aad0007a6e4b7,
157,"[8.410042, 49.001548]",2024-05-27T14:35:56.794Z,24.61,True,6645db6eeb5aad0007a6e4b7,
158,"[8.410042, 49.001548]",2024-05-27T14:34:56.693Z,24.55,True,6645db6eeb5aad0007a6e4b7,
159,"[8.410042, 49.001548]",2024-05-27T14:33:56.410Z,24.43,False,6645db6eeb5aad0007a6e4b7,
160,"[8.410042, 49.001548]",2024-05-27T14:32:59.050Z,24.45,False,6645db6eeb5aad0007a6e4b7,
161,"[8.410042, 49.001548]",2024-05-27T14:32:15.092Z,24.32,False,6645db6eeb5aad0007a6e4b7,
162,"[8.410042, 49.001548]",2024-05-27T14:30:57.020Z,24.39,False,6645db6eeb5aad0007a6e4b7,
163,"[8.410042, 49.001548]",2024-05-27T14:30:01.014Z,24.58,False,6645db6eeb5aad0007a6e4b7,
164,"[8.410042, 49.001548]",2024-05-27T14:28:55.832Z,24.52,False,6645db6eeb5aad0007a6e4b7,
165,"[8.410042, 49.001548]",2024-05-27T14:27:55.649Z,24.32,False,6645db6eeb5aad0007a6e4b7,
166,"[8.410042, 49.001548]",2024-05-27T14:26:55.493Z,24.16,False,6645db6eeb5aad0007a6e4b7,
167,"[8.410042, 49.001548]",2024-05-27T14:25:55.460Z,24.05,False,6645db6eeb5aad0007a6e4b7,
168,"[8.410042, 49.001548]",2024-05-27T14:24:55.294Z,23.93,False,6645db6eeb5aad0007a6e4b7,
169,"[8.410042, 49.001548]",2024-05-27T14:23:55.206Z,23.94,False,6645db6eeb5aad0007a6e4b7,
170,"[8.410042, 49.001548]",2024-05-27T14:22:55.686Z,23.79,True,6645db6eeb5aad0007a6e4b7,
171,"[8.410042, 49.001548]",2024-05-27T14:21:55.218Z,23.78,False,6645db6eeb5aad0007a6e4b7,
172,"[8.410042, 49.001548]",2024-05-27T14:20:56.717Z,23.76,False,6645db6eeb5aad0007a6e4b7,
173,"[8.410042, 49.001548]",2024-05-27T14:19:56.082Z,23.98,False,6645db6eeb5aad0007a6e4b7,
174,"[8.410042, 49.001548]",2024-05-27T14:19:02.720Z,23.95,False,6645db6eeb5aad0007a6e4b7,
175,"[8.410042, 49.001548]",2024-05-27T14:17:54.760Z,24.24,False,6645db6eeb5aad0007a6e4b7,
176,"[8.410042, 49.001548]",2024-05-27T14:16:54.437Z,24.30,False,6645db6eeb5aad0007a6e4b7,
177,"[8.410042, 49.001548]",2024-05-27T14:15:54.249Z,24.28,False,6645db6eeb5aad0007a6e4b7,
178,"[8.410042, 49.001548]",2024-05-27T14:14:54.132Z,24.39,False,6645db6eeb5aad0007a6e4b7,
179,"[8.410042, 49.001548]",2024-05-27T14:13:54.083Z,24.71,False,6645db6eeb5aad0007a6e4b7,
180,"[8.410042, 49.001548]",2024-05-27T14:12:54.961Z,24.60,False,6645db6eeb5aad0007a6e4b7,
181,"[8.410042, 49.001548]",2024-05-27T14:12:00.851Z,24.81,True,6645db6eeb5aad0007a6e4b7,
182,"[8.410042, 49.001548]",2024-05-27T14:10:57.634Z,24.81,True,6645db6eeb5aad0007a6e4b7,
